MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2_Emissions
2018,ACURA,ILX,COMPACT,2.4,4,AM8,Z,9.4,6.8,8.2,34,192
2018,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.6,9,11,26,259
2018,ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6,AS9,Z,12.2,9,10.7,26,251
2018,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.4,8.7,10.7,26,250
2018,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,34,196
2018,ACURA,TLX,COMPACT,2.4,4,AM8,Z,10,7.1,8.7,32,205
2018,ACURA,TLX A-SPEC,COMPACT,2.4,4,AM8,Z,10.2,7.4,8.9,32,209
2018,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.4,7.7,9.8,29,228
2018,ACURA,TLX SH-AWD A-SPEC,COMPACT,3.5,6,AS9,Z,12,8.2,10.3,27,240
2018,ALFA ROMEO,4C COUPE,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,197
2018,ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,197
2018,ALFA ROMEO,GIULIA,MID-SIZE,2,4,A8,Z,10,7.2,8.7,32,205
2018,ALFA ROMEO,GIULIA AWD,MID-SIZE,2,4,A8,Z,10.5,7.7,9.2,31,217
2018,ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6,A8,Z,13.8,9.6,11.9,24,280
2018,ALFA ROMEO,STELVIO AWD,SUV - SMALL,2,4,A8,Z,10.8,8.3,9.6,29,226
2018,ASTON MARTIN,DB11 V8,MINICOMPACT,4,8,A8,Z,13,9.8,11.5,25,271
2018,ASTON MARTIN,DB11 V12,MINICOMPACT,5.2,12,A8,Z,15.5,11.4,13.7,21,322
2018,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6,12,A8,Z,16.7,10.9,14.1,20,332
2018,ASTON MARTIN,VANQUISH,MINICOMPACT,6,12,A8,Z,17.5,11.4,14.7,19,346
2018,AUDI,A3,SUBCOMPACT,2,4,AM7,X,9.1,6.8,8,35,188
2018,AUDI,A3 QUATTRO,SUBCOMPACT,2,4,AM6,X,9.7,7.5,8.7,32,205
2018,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM6,X,10.8,8,9.5,30,223
2018,AUDI,A4,COMPACT,2,4,AM7,Z,8.6,6.4,7.6,37,177
2018,AUDI,A4 QUATTRO,COMPACT,2,4,AM7,Z,10,7,8.7,32,203
2018,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,9.9,7.1,8.7,32,204
2018,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AM7,Z,10.5,7.9,9.3,30,217
2018,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AM7,Z,10,7,8.7,32,203
2018,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,9.9,7.1,8.7,32,204
2018,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM7,Z,10,7,8.7,32,203
2018,AUDI,A5 SPORTBACK QUATTRO,MID-SIZE,2,4,AM7,Z,10,7,8.7,32,203
2018,AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,10.6,7.5,9.2,31,216
2018,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,11.5,8.2,10,28,235
2018,AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,11.5,8.2,10,28,235
2018,AUDI,A8,FULL-SIZE,3,6,AS8,Z,12.6,8,10.5,27,247
2018,AUDI,A8,FULL-SIZE,4,8,AS8,Z,15.1,9.1,12.4,23,290
2018,AUDI,A8L,FULL-SIZE,4,8,AS8,Z,15.1,9.1,12.4,23,290
2018,AUDI,Q3,COMPACT,2,4,AS6,Z,11.6,8.3,10.1,28,236
2018,AUDI,Q3 QUATTRO,COMPACT,2,4,AS6,Z,11.9,8.4,10.3,27,240
2018,AUDI,Q5,SUV - SMALL,2,4,AS7,Z,10.4,8.6,9.6,29,226
2018,AUDI,Q7,SUV - STANDARD,2,4,AS8,Z,12.2,9.5,11,26,258
2018,AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,12.6,9.4,11.1,25,260
2018,AUDI,R8,TWO-SEATER,5.2,10,AM7,Z,16,9.5,13.1,22,304
2018,AUDI,R8 QUATTRO,TWO-SEATER,5.2,10,AM7,Z,17.1,11.3,14.5,19,338
2018,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,AM7,Z,17.1,11.3,14.5,19,338
2018,AUDI,RS 3,SUBCOMPACT,2.5,5,AM7,Z,12.4,8.3,10.5,27,248
2018,AUDI,RS 5,SUBCOMPACT,2.9,6,AM8,Z,12.9,8.9,11.1,25,260
2018,AUDI,RS 7,MID-SIZE,4,8,AS8,Z,17,9.6,13.7,21,318
2018,AUDI,S3,SUBCOMPACT,2,4,AM7,Z,10.6,8.3,9.6,29,223
2018,AUDI,S4,COMPACT,3,6,AM8,Z,11.5,8,9.9,29,232
2018,AUDI,S5,SUBCOMPACT,3,6,AM8,Z,11.5,8,9.9,29,232
2018,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,AM8,Z,11.9,8.1,10.2,28,239
2018,AUDI,S5 SPORTBACK,MID-SIZE,3,6,AM8,Z,11.5,8,9.9,29,232
2018,AUDI,S6,MID-SIZE,4,8,AM7,Z,15,10,12.8,22,298
2018,AUDI,S7,MID-SIZE,4,8,AM7,Z,15,10,12.8,22,298
2018,AUDI,S8,MID-SIZE,4,8,AS8,Z,16.2,9.9,13.4,21,313
2018,AUDI,SQ5,SUV - SMALL,3,6,AM8,Z,12.7,10,11.5,25,270
2018,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,AM6,X,10.1,7.8,9.1,31,209
2018,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,AM6,X,10.1,7.8,9.1,31,209
2018,AUDI,TT RS,SUBCOMPACT,2.5,5,AM7,Z,12.3,8.2,10.5,27,245
2018,AUDI,TTS COUPE,SUBCOMPACT,2,4,AM6,Z,10.3,8.6,9.5,30,222
2018,BENTLEY,BENTAYGA,SUV - STANDARD,6,12,AS8,Z,18.8,12.2,15.9,18,370
2018,BENTLEY,CONTINENTAL GT CONVERTIBLE,COMPACT,6,12,AS8,Z,20.4,12,16.6,17,389
2018,BENTLEY,CONTINENTAL SUPERSPORTS,COMPACT,6,12,AS8,Z,20.4,12,16.6,17,389
2018,BENTLEY,FLYING SPUR,MID-SIZE,4,8,AS8,Z,18.8,10.7,15.1,19,353
